epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.35709,1.97168,4.82211,1.404,0.95613,0.09375,0.13604,0.09715,1.74471,3.13864,1.27804,0.0901,0.0011,0.0011
2,10.8093,1.61237,2.3399,1.24454,0.75523,0.72873,0.70071,0.49465,1.3259,1.57276,1.08804,0.0792999,0.00229991,0.00229991
3,14.1343,1.37228,1.3821,1.18053,0.85686,0.81239,0.89466,0.68482,1.09962,0.89167,1.01084,0.0684995,0.00349945,0.00349945
4,17.3713,1.26106,1.30347,1.08546,0.93571,0.8334,0.92429,0.70898,0.92994,0.92343,0.95623,0.0576983,0.00469835,0.00469835
5,21.0863,1.06243,1.12626,0.9953,0.89093,0.91192,0.94295,0.7395,0.93081,0.78591,0.92097,0.0468963,0.00589631,0.00589631
6,24.2375,1.09549,1.03674,1.02909,0.95948,0.90005,0.94941,0.72914,0.95413,0.74764,0.94134,0.0360931,0.00709306,0.00709306
7,27.1061,1.08386,0.93219,1.00339,0.94572,0.88483,0.93136,0.68491,1.02769,0.73094,0.94094,0.0252883,0.00828833,0.00828833
8,30.0409,1.0571,0.95843,0.9899,0.98865,0.91866,0.96815,0.75782,1.03951,0.72947,0.93244,0.0144818,0.00948182,0.00948182
9,33.4115,1.12926,0.87113,0.97813,0.95405,0.93816,0.97604,0.72137,1.01883,0.79807,0.92906,0.00997501,0.00997501,0.00997501
10,36.441,1.1481,0.91197,0.98389,0.8801,0.94862,0.97982,0.77355,0.92459,0.69032,0.9201,0.00996838,0.00996838,0.00996838
11,39.2101,1.01489,0.98222,0.97624,0.9472,0.93815,0.9758,0.85826,0.79219,0.82513,0.8949,0.00996097,0.00996097,0.00996097
12,42.1511,1.00189,0.86159,1.02821,0.93883,0.93952,0.98117,0.77361,0.88867,0.61301,0.90553,0.00995278,0.00995278,0.00995278
13,45.0784,1.03591,0.76775,0.94809,0.97075,0.90286,0.9748,0.76913,0.91797,0.80841,0.93663,0.00994383,0.00994383,0.00994383
